star_name,ra,dec,class
HR 7228,21 08 46.20,-88 57 23.0,STAR F0III
HR 8294,22 45 28.61,-88 49 05.9,STAR F0IV
HR 5491,15 28 19.10,-88 07 59.2,STAR A0
HR 6721,18 54 46.90,-87 36 20.9,STAR K3III
HR 6133,17 15 59.30,-87 33 59.0,STAR G5III
HR 8862,23 28 03.70,-87 28 55.9,STAR K2III
HR 2848,06 46 58.70,-87 01 30.0,STAR F3V
HR 6139,17 00 58.49,-86 21 51.8,STAR A2V
HR 4709,12 25 37.49,-86 09 02.2,STAR K0III
HR 8505,22 31 37.39,-85 58 01.9,STAR K0III
HR 5084,13 40 55.49,-85 47 10.0,STAR A0
HR 3678,08 56 41.09,-85 39 47.2,STAR A8IV
HR 4595,12 02 20.11,-85 37 54.1,STAR K3III
HR 1271,03 42 32.11,-85 15 43.9,STAR B9IV
HR 6552,18 01 34.10,-85 12 52.9,STAR F5IV
HR 4870,12 54 58.61,-85 07 23.9,STAR K0III
HR 47  ,00 13 19.39,-84 59 39.1,STAR M0III
HR 8129,21 32 04.20,-84 48 36.0,STAR K3III
HR 5557,15 11 08.30,-84 47 15.0,STAR B9V
HR 2059,05 30 13.90,-84 47 06.0,STAR B9IV
HR 525 ,01 37 28.01,-84 46 10.9,STAR G8III
HR 4312,10 59 13.80,-84 35 38.0,STAR A1V
HR 5729,15 43 16.80,-84 27 55.1,STAR A2V
HR 5339,14 26 54.89,-83 40 04.1,STAR K2III
HR 6964,18 51 57.89,-83 18 59.0,STAR K1III
HR 7698,20 24 54.41,-83 18 38.2,STAR A0
HR 6138,16 45 53.59,-83 14 20.0,STAR K4III
HR 5525,15 01 50.81,-83 13 40.1,STAR G8III
HR 4507,11 41 01.20,-83 06 00.0,STAR K0III
HR 5545,15 04 46.70,-83 02 17.9,STAR G8I
HR 512 ,01 37 55.61,-82 58 30.0,STAR G2V
HR 1485,04 22 50.90,-82 53 57.1,STAR A7IV
HR 5327,14 24 23.30,-82 50 55.0,STAR B8V
HR 8280,21 50 54.31,-82 43 09.1,STAR G8III
HR 8176,21 33 54.41,-82 40 59.2,STAR B3IV
HR 5188,13 55 38.71,-82 39 58.0,STAR K2III
HR 1716,04 58 50.90,-82 28 14.2,STAR G8III
HR 30  ,00 10 02.09,-82 13 26.0,STAR G8III
HR 3983,10 00 43.70,-82 12 52.9,STAR A0IV
HR 9061,23 57 32.71,-82 10 12.0,STAR K0III
HR 9032,23 52 06.41,-82 01 08.0,STAR G7III
HR 4161,10 31 51.00,-81 55 16.0,STAR B5III
HR 6912,18 42 14.09,-81 48 28.1,STAR B8V
HR 1456,04 20 57.89,-81 34 48.0,STAR F0III
HR 3997,10 04 07.61,-81 33 56.9,STAR G6III
HR 4304,10 59 12.91,-81 33 22.0,STAR F7IV
HR 1815,05 12 25.70,-81 32 30.1,STAR K1III
HR 6646,18 05 26.69,-81 29 11.0,STAR K3III
HR 8630,22 46 03.31,-81 22 54.1,STAR A9IV
HR 7494,19 56 01.51,-81 20 58.9,STAR K3III
HR 7812,20 38 18.60,-81 17 20.0,STAR K5III
HR 5303,14 18 13.80,-81 00 28.1,STAR A2
HR 7785,20 33 17.50,-80 57 54.0,STAR G6II
HR 3860,09 33 53.21,-80 56 29.0,STAR B5V
HR 3393,08 24 19.80,-80 54 51.1,STAR G8III
HR 8810,23 12 12.00,-80 54 46.1,STAR K4III
HR 6429,17 31 27.29,-80 51 33.1,STAR M3III
HR 2559,06 40 02.71,-80 48 49.0,STAR A5III
HR 3795,09 24 09.10,-80 47 12.8,STAR F3IV
HR 4234,10 45 46.80,-80 32 25.1,STAR B2IV
HR 4231,10 45 15.70,-80 28 10.9,STAR K0III
HR 2022,05 37 09.79,-80 28 09.1,STAR G1V
HR 8481,22 20 01.51,-80 26 22.9,STAR M5III
HR 6837,18 29 19.49,-80 13 58.1,STAR K2III
HR 1426,04 17 59.09,-80 12 50.0,STAR K2III
HR 550 ,01 47 46.51,-80 10 36.1,STAR F0IV
HR 8663,22 50 22.90,-80 07 27.1,STAR B6IV
HR 5336,14 22 22.70,-80 06 32.0,STAR B4V
HR 8201,21 33 20.59,-80 02 21.1,STAR A0V
HR 4206,10 41 51.29,-79 46 59.9,STAR B4IV
HR 4385,11 18 34.30,-79 40 07.0,STAR A8III
HR 4268,10 52 27.50,-79 33 33.8,STAR K2II
HR 3543,08 45 55.20,-79 30 15.8,STAR K5III
HR 8786,23 08 23.71,-79 28 50.9,STAR A3V
HR 8849,23 19 08.11,-79 28 22.1,STAR K0III
HR 8234,21 38 56.21,-79 26 33.0,STAR F4IV
HR 2689,06 56 34.39,-79 25 13.1,STAR B9V
HR 2125,05 50 16.70,-79 21 41.0,STAR B9V
HR 4674,12 18 20.69,-79 18 43.9,STAR B5V
HR 4509,11 42 55.39,-79 18 23.0,STAR K0III
HR 516 ,01 41 21.31,-79 08 53.9,STAR G6III
HR 776 ,02 31 40.51,-79 06 33.8,STAR G8III
HR 2919,07 25 37.99,-79 05 39.1,STAR K2III
HR 3524,08 43 12.41,-79 04 10.9,STAR A5V
HR 5470,14 47 51.60,-79 02 40.9,STAR K3III
HR 981 ,03 07 31.99,-78 59 21.8,STAR F2II
HR 3502,08 41 19.51,-78 57 47.9,STAR B8V
HR 6102,16 33 27.00,-78 53 49.9,STAR G8III
HR 1991,05 35 36.31,-78 49 14.9,STAR B8III
HR 8995,23 44 40.70,-78 47 29.0,STAR K1III
HR 64  ,00 16 49.01,-78 46 50.2,STAR F3III
HR 8577,22 35 26.40,-78 46 18.1,STAR K1III
HR 6020,16 20 20.81,-78 41 44.9,STAR M5III
HR 6021,16 20 26.81,-78 40 01.9,STAR K3III
HR 4174,10 35 28.10,-78 36 28.1,STAR M0III
HR 5240,14 00 32.81,-78 35 24.0,STAR B9III
HR 4649,12 13 55.70,-78 34 25.0,STAR K2III
HR 467 ,01 33 39.19,-78 30 16.9,STAR K0III
HR 4976,13 14 17.21,-78 26 49.9,STAR F8I
HR 1109,03 29 58.80,-78 21 06.8,STAR G8III
HR 593 ,01 55 50.50,-78 20 53.9,STAR F5IV
HR 1154,03 36 30.00,-78 19 23.2,STAR K2III
HR 1682,05 00 13.20,-78 18 01.1,STAR K5III
HR 4583,11 59 37.30,-78 13 18.8,STAR B9V
HR 5757,15 39 18.29,-77 55 05.2,STAR K2III
HR 6994,18 47 49.39,-77 52 01.9,STAR F8V
HR 5306,14 16 54.89,-77 39 50.0,STAR K2II
HR 8370,22 01 52.10,-77 39 45.0,STAR A5IV
HR 1531,04 38 21.70,-77 39 22.0,STAR K2III
HR 3000,07 36 04.20,-77 38 03.1,STAR M0III
HR 4397,11 21 57.10,-77 36 29.9,STAR A5III
HR 5082,13 33 14.81,-77 34 05.9,STAR F6V
HR 6163,16 43 04.61,-77 31 03.0,STAR K0III
HR 8471,22 17 50.50,-77 30 42.1,STAR F3III
