planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
11 Com b,Confirmed,19.4,326.03,1.29,0.231,2008,Radial Velocity,11 Com
11 UMi b,Confirmed,10.5,516.22,1.54,0.08,2009,Radial Velocity,11 UMi
14 And b,Confirmed,5.33,185.84,0.83,0,2008,Radial Velocity,14 And
14 Her b,Confirmed,4.64,1773.4,2.77,0.369,2002,Radial Velocity,14 Her
16 Cyg B b,Confirmed,1.68,799.5,1.68,0.689,1996,Radial Velocity,16 Cyg B
18 Del b,Confirmed,10.3,993.3,2.6,0.08,2008,Radial Velocity,18 Del
24 Sex b,Confirmed,1.99,452.8,1.333,0.09,2010,Radial Velocity,24 Sex
24 Sex c,Confirmed,0.86,883,2.08,0.29,2010,Radial Velocity,24 Sex
2M 0746+20 b,Confirmed,30,4640,2.897,0.487,2010,Imaging,2M 0746+20
2M 2140+16 b,Confirmed,20,7340,3.53,0.26,2010,Imaging,2M 2140+16
2M 2206-20 b,Confirmed,30,8686,4.48,0,2010,Imaging,2M 2206-20
30 Ari B b,Confirmed,9.88,335.1,0.995,0.289,2009,Radial Velocity,30 Ari B
38 Vir b,Confirmed,4.51,825.9,1.82,0.03,2016,Primary Transit,38 Vir
4 Uma b,Confirmed,7.1,269.3,0.87,0.432,2007,Radial Velocity,4 Uma
42 Dra b,Confirmed,3.88,479.1,1.19,0.38,2009,Radial Velocity,42 Dra
47 Uma b,Confirmed,2.53,1078,2.1,0.032,1996,Radial Velocity,47 Uma
47 Uma c,Confirmed,0.54,2391,3.6,0.098,2001,Radial Velocity,47 Uma
47 Uma d,Confirmed,1.64,14002,11.6,0.16,2010,Radial Velocity,47 Uma
51 Eri b,Confirmed,9.1,14965,14,0.21,2015,Imaging,51 Eri
51 Peg b,Confirmed,0.47,4.2308,0.052,0.0069,1995,Radial Velocity,51 Peg
55 Cnc b,Confirmed,0.84,14.65314,0.11339,0.0023,1996,Radial Velocity,55 Cnc
55 Cnc c,Confirmed,0.1784,44.373,0.23735,0.072,2002,Radial Velocity,55 Cnc
55 Cnc d,Confirmed,3.86,4867,5.446,0.0269,2002,Radial Velocity,55 Cnc
55 Cnc e,Confirmed,0.02547,0.7365478,0.015439,0.028,2004,Primary Transit,55 Cnc
55 Cnc f,Confirmed,0.1479,260.91,0.7733,0.08,2007,Radial Velocity,55 Cnc
6 Lyn b,Confirmed,69,899,2.2,0.134,2008,Radial Velocity,6 Lyn
61 Vir b,Confirmed,0.016,4.215,0.050201,0.12,2009,Radial Velocity,61 Vir
61 Vir c,Confirmed,0.0573,38.021,0.2175,0.14,2009,Radial Velocity,61 Vir
61 Vir d,Confirmed,0.072,123.01,0.476,0.35,2009,Radial Velocity,61 Vir
7 CMa b,Confirmed,2.46,796,1.93,0.22,2011,Radial Velocity,7 CMa
70 Vir b,Confirmed,6.6,116.67,0.48,0.43,1996,Radial Velocity,70 Vir
8 Umi b,Confirmed,1.5,93.4,0.49,0.06,2015,Radial Velocity,8 Umi
81 Cet b,Confirmed,5.3,952.7,2.5,0.206,2008,Radial Velocity,81 Cet
91 Aqr b,Confirmed,3.2,181.4,0.7,0.027,2003,Radial Velocity,91 Aqr
