,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 7228,Sig Oct  ,21 08 46.20,-88 57 23.0, 5.47,        ,                                         STAR F0III,
,HR 8294,         ,22 45 28.61,-88 49 05.9, 6.57,        ,                                          STAR F0IV,
,HR 5491,         ,15 28 19.10,-88 07 59.2, 6.48,        ,                                            STAR A0,
,HR 6721,Chi Oct  ,18 54 46.90,-87 36 20.9, 5.28,        ,                                         STAR K3III,
,HR 6133,         ,17 15 59.30,-87 33 59.0, 6.57,        ,                                         STAR G5III,
,HR 8862,Tau Oct  ,23 28 03.70,-87 28 55.9, 5.49,        ,                                         STAR K2III,
,HR 2848,         ,06 46 58.70,-87 01 30.0, 6.47,        ,                                           STAR F3V,
,HR 6139,         ,17 00 58.49,-86 21 51.8, 6.04,        ,                                           STAR A2V,
,HR 4709,         ,12 25 37.49,-86 09 02.2, 6.33,        ,                                         STAR K0III,
,HR 8505,Ups Oct  ,22 31 37.39,-85 58 01.9, 5.77,        ,                                         STAR K0III,
,HR 5084,Kap Oct  ,13 40 55.49,-85 47 10.0, 5.58,        ,                                            STAR A0,
,HR 3678,Zet Oct  ,08 56 41.09,-85 39 47.2, 5.42,        ,                                          STAR A8IV,
,HR 4595,         ,12 02 20.11,-85 37 54.1, 6.05,W       ,                                         STAR K3III,
,HR 1271,         ,03 42 32.11,-85 15 43.9, 6.41,W       ,                                          STAR B9IV,
,HR 6552,         ,18 01 34.10,-85 12 52.9, 6.45,        ,                                          STAR F5IV,
,HR 4870,Iot Oct  ,12 54 58.61,-85 07 23.9, 5.46,W       ,                                         STAR K0III,
,HR 47  ,         ,00 13 19.39,-84 59 39.1, 5.77,        ,                                         STAR M0III,
,HR 8129,         ,21 32 04.20,-84 48 36.0, 6.45,        ,                                         STAR K3III,
,HR 5557,Ome Oct  ,15 11 08.30,-84 47 15.0, 5.91,        ,                                           STAR B9V,
,HR 2059,         ,05 30 13.90,-84 47 06.0, 6.20,        ,                                          STAR B9IV,
,HR 525 ,         ,01 37 28.01,-84 46 10.9, 5.69,        ,                                         STAR G8III,
,HR 4312,Eta Oct  ,10 59 13.80,-84 35 38.0, 6.19,        ,                                           STAR A1V,
,HR 5729,Rho Oct  ,15 43 16.80,-84 27 55.1, 5.57,        ,                                           STAR A2V,
,HR 5339,Del Oct  ,14 26 54.89,-83 40 04.1, 4.32,        ,                                         STAR K2III,
,HR 6964,         ,18 51 57.89,-83 18 59.0, 7.16,        ,                                         STAR K1III,
,HR 7698,         ,20 24 54.41,-83 18 38.2, 6.17,        ,                                            STAR A0,
,HR 6138,         ,16 45 53.59,-83 14 20.0, 6.57,        ,                                         STAR K4III,
,HR 5525,Pi 1Oct  ,15 01 50.81,-83 13 40.1, 5.65,        ,                                         STAR G8III,
,HR 4507,         ,11 41 01.20,-83 06 00.0, 6.33,W       ,                                         STAR K0III,
,HR 5545,Pi 2Oct  ,15 04 46.70,-83 02 17.9, 5.65,        ,                                           STAR G8I,
,HR 512 ,         ,01 37 55.61,-82 58 30.0, 5.87,        ,                                           STAR G2V,
,HR 1485,         ,04 22 50.90,-82 53 57.1, 6.76,W       ,                                          STAR A7IV,
,HR 5327,         ,14 24 23.30,-82 50 55.0, 6.42,        ,                                           STAR B8V,
,HR 8280,Lam Oct  ,21 50 54.31,-82 43 09.1, 5.29,W       ,                                         STAR G8III,
,HR 8176,         ,21 33 54.41,-82 40 59.2, 6.38,        ,                                          STAR B3IV,
,HR 5188,         ,13 55 38.71,-82 39 58.0, 5.95,        ,                                         STAR K2III,
,HR 1716,Xi  Men  ,04 58 50.90,-82 28 14.2, 5.85,        ,                                         STAR G8III,
,HR 30  ,Gam3Oct  ,00 10 02.09,-82 13 26.0, 5.28,        ,                                         STAR G8III,
,HR 3983,Mu 1Cha  ,10 00 43.70,-82 12 52.9, 5.52,        ,                                          STAR A0IV,
,HR 9061,Gam2Oct  ,23 57 32.71,-82 10 12.0, 5.73,        ,                                         STAR K0III,
,HR 9032,Gam1Oct  ,23 52 06.41,-82 01 08.0, 5.11,        ,                                         STAR G7III,
,HR 4161,         ,10 31 51.00,-81 55 16.0, 7.07,W       ,                                         STAR B5III,
,HR 6912,         ,18 42 14.09,-81 48 28.1, 6.27,        ,                                           STAR B8V,
,HR 1456,Nu  Men  ,04 20 57.89,-81 34 48.0, 5.79,        ,                                         STAR F0III,
,HR 3997,Mu 2Cha  ,10 04 07.61,-81 33 56.9, 6.60,        ,                                         STAR G6III,
,HR 4304,         ,10 59 12.91,-81 33 22.0, 6.71,W       ,                                          STAR F7IV,
,HR 1815,         ,05 12 25.70,-81 32 30.1, 6.51,        ,                                         STAR K1III,
,HR 6646,         ,18 05 26.69,-81 29 11.0, 6.35,        ,                                         STAR K3III,
,HR 8630,Bet Oct  ,22 46 03.31,-81 22 54.1, 4.15,        ,                                          STAR A9IV,
,HR 7494,         ,19 56 01.51,-81 20 58.9, 6.39,        ,                                         STAR K3III,
,HR 7812,         ,20 38 18.60,-81 17 20.0, 5.91,        ,                                         STAR K5III,
,HR 5303,Eta Aps  ,14 18 13.80,-81 00 28.1, 4.91,        ,                                            STAR A2,
,HR 7785,         ,20 33 17.50,-80 57 54.0, 5.77,W       ,                                          STAR G6II,
,HR 3860,Zet Cha  ,09 33 53.21,-80 56 29.0, 5.11,        ,                                           STAR B5V,
,HR 3393,         ,08 24 19.80,-80 54 51.1, 5.69,        ,                                         STAR G8III,
,HR 8810,         ,23 12 12.00,-80 54 46.1, 6.41,        ,                                         STAR K4III,
