Star,Constellation,Right,Declination,Apparent,Distance (ly),Spectral,Mass,Temperature (K),Age,Confirmed,Notes
,,ascension,,magnitude,,type,(M☉),,(Gyr),(unconfirmed),
,,,,,,,,,,planets,
Sun,–,-,-,−26.74,1.6 × 10−5,G2V,1,5778,4.572,8,
Proxima Centauri,Centaurus,14h 29m 42.94853s,62° 40′ 46.1631″,15.6,4.244,M5.5Ve,0.122,3042,4.85,2 (1),-
Wolf 359,Leo,10h 56m 28.99s,07° 00′ 52.0″,7.1,7.86,M6.5Ve,0.09,2800,0.225,2,-
Lacaille 9352,Piscis Austrinus,23h 05m 52.04s,−35° 51′ 11.05″,7.34,10.721,M0.5V,0.486,3688±86,4.57,2 (1),-
Luyten's Star,Canis Minor,07h 27m 24.4991s,05° 13′ 32.827″,9.872,11.2,M3.5V,0.26,3150,unknown,2 (2),Stellar activity level and rotational rate suggest an age higher than 8 Gyr.
Struve 2398 B,Draco,00h 18m 22.8850s,44° 01′ 22.6373″,9.7,11.39,M3.5V,0.248,3345,2.4,2,-
Groombridge 34 A,Andromeda,00h 18m 22.8850s,44° 01′ 22.6373″,8.119,11.62,M1.4V,0.38,3607,3.04,2,-
YZ Ceti,Cetus,01h 12m 30.64s,−16° 59′ 56.3″,12.07,11.74,M4.5V,0.13,3056,4,3 (1),-
Tau Ceti,Cetus,01h 44m 05.13s,−15° 56′ 22.4″,3.49,11.905,G8V,0.783,5344,5.8,4 (4),"Were planets b, c, d, and ""i"" confirmed, would have a total of 8 planets."
Gliese 1061,Horologium,03h 35m 59.69s,−44° 30′ 45.3″,13.03,12.04,M5.5V,0.113,2953,unknown,3,-
Teegarden's Star,Aries,02h 53m 0.085s,16° 52′ 53.3″,15.13,12.58,M7.0V,0.08,2637,8,2,-
Kapteyn's Star,Pictor,05h 11m 50s,−45° 02′ 30″,8.853,12.76,sdM1,0.274,3550,11,2,-
Gliese 876,Aquarius,22h 53m 16.73s,−14° 15′ 49.3″,10.17,15.25,M4V,0.334,3348,4.893,4,-
Gliese 229 A,Lepus,06h 10m 34.6154s,−21° 51′ 52.715″,8.14,18.8,M1V,0.58,3700,unknown,2,Brown dwarf B is too big to be considered a planet.
82 G. Eridani,Eridanus,03h 19m 55.65s,−43° 04′ 11.2″,4.254,19.71,G8V,0.7,5401,5.76,4 (2),-
Gliese 581,Libra,15h 19m 26.83s,−07° 43′ 20.2″,10.56,20.56,M3V,0.311,3484,4.326,3 (2),-
Gliese 667 C,Scorpius,17h 18m 57.16s,−34° 59′ 23.14″,10.2,21,M1.5V,0.31,3700,2,2 (5),Triple star system
HD 219134,Cassiopeia,23h 13m 14.74s,57° 10′ 03.5″,5.57,21,K3Vvar,0.794,4699,12.66,6,-
61 Virginis,Virgo,13h 18m 24.31s,−18° 18′ 40.3″,4.74,28,G5V,0.954,5531,8.96,3,-
TRAPPIST-1,Aquarius,23h 06m 29.283s,−05° 02′ 28.59″,18.8,39.5,M8V,0.089,2550,7.6,7,-
55 Cancri,Cancer,08h 52m 35.81s,+28° 19′ 50.9″,5.95,40,G8V,1.026,5217,7.4,5,-
HD 69830,Puppis,08h 18m 23.95s,−12° 37′ 55.8″,5.95,41,K0V,0.856,5385,7.446,3,-
HD 40307,Pictor,05h 54m 04.24s,−60° 01′ 24.5″,7.17,42,K2.5V,0.752,4977,1.198,4 (2),-
Upsilon Andromedae,Andromeda,01h 36m 47.84s,+41° 24′ 19.7″,4.09,44,F8V,1.27,6107,3.781,4,-
47 Ursae Majoris,Ursa Major,10h 59m 27.97s,+40° 25′ 48.9″,5.1,46,G0V,1.029,5892,7.434,3,-
Nu2 Lupi,Lupus,15h 21m 49.57s,−48° 19′ 01.1″,5.65,47,G2V,0.906,5664,10.36,3,-
Gliese 163,Dorado,04h 09m 16s,−53° 22′ 25″,11.8,49,M3.5V,0.4,unknown,3,5,-
Mu Arae,Ara,17h 44m 08.70s,−51° 50′ 02.6″,5.15,51,G3IV-V,1.077,5704,6.413,4,-
HD 113538,Centaurus,13h 04m 57.48s,−52° 26′ 34.5″,9.1,52,K9V,0.698,4685,1.278,2,-
Gliese 777,Cygnus,20h 03m 37.41s,+29° 53′ 48.5″,5.71,52,G6IV,1.037,5588,12.11,2,-
Gliese 676 A,Ara,17h 30m 11.2042s,−51° 38′ 13.116″,9.59,53,M0V,0.71,unknown,unknown,4,-
HD 21749,Reticulum,03h 27m 00.0s,−63° 30′ 08″,8.1,53,K4.5,0.73,4640,unknown,2,-
HD 128311,Boötes,14h 36m 00.56s,+09° 44′ 47.5″,7.51,54,K0V,0.804,4965,0.394,2,-
HD 7924,Cassiopeia,01h 21m 59.12s,+76° 42′ 37.0″,7.19,55,K0V,0.832,5177,unknown,3,-
HIP 65407,Canes Venatici,13h 24m 21.0s,+48° 53′ 06″,9.42,55,K0,0.93,5460,unknown,2,-
14 Herculis,Hercules,16h 10m 24.31s,+43° 49′ 03.5″,6.67,57,K0V,0.902,5311,0.706,2,-
Rho Coronae Borealis,Corona Borealis,16h 01m 02.80s,+33° 18′ 19.4″,5.39,57,G2V,0.889,5627,unknown,2,-
HIP 38594,Puppis,07h 54m 11.0s,−25° 18′ 11″,9.7,58,M0,unknown,unknown,unknown,2,-
83 Leonis,Leo,11h 26m 46.28s,+03° 00′ 22.8″,7.57,59,K2V,0.777,4875,4.486,2,-
Pi Mensae,Mensa,05h 37m 08.79s,−80° 28′ 18.0″,5.65,59,G3IV,1.1,5888,3.83,2,-
Beta Pictoris,Pictor,05h 47m 17.08s,−51° 04′ 00.2″,3.85,63,A5V,1.73,-,0.04,2,-
HD 217107,Pisces,22h 58m 15.54s,−02° 23′ 43.4″,6.18,65,G8IV,1.019,5646,7.32,2,-
Gliese 221,Orion,05h 53m 0s,−05° 59′ 41″,9.69,66,K7V or M0V,0.7,4324,4.4,2 (1),-
HD 142,Phoenix,00h 06m 19.0s,−49° 04′ 30″,5.7,67,G1 IV,1.1,6180,5.93,3,-
HD 215152,Aquarius,22h 43m 21s,−06° 24′ 03″,8.13,70,G8IV,1.019,5646,7.32,4,-
HD 164922,Hercules,18h 02m 30.86s,+26° 18′ 46.8″,7.01,72,K0V,0.874,5293,13.4,3,-
HD 1461,Cetus,00h 18m 41.62s,−08° 03′ 09.5″,6.47,76,G0V,1.08,5765,6.3,2,-
HD 134060,Circinus,15h 10m 44.97s,−61° 25′ 20.3″,6.29,79,G3IV,unknown,unknown,unknown,2,-
HD 60532,Puppis,07h 34m 03.18s,−22° 17′ 45.8″,4.46,83,F6IV-V,1.444,6095,2.671,2,-
HD 96700,Hydra,11h 07m 54s,−30° 10′ 28″,6.5,83,G0V,unknown,unknown,unknown,2,-
HD 39194,Mensa,05h 44m 32s,−70° 08′ 37″,8.08,84,K0V,unknown,unknown,unknown,3,-
23 Librae,Libra,15h 13m 28.67s,−25° 18′ 33.6″,6.45,85,G5V,1.047,5559,7.322,2,-
HIP 57274,Ursa Major,11h 44m 41s,+30° 57′ 33″,8.96,85,K5V,0.73,4640,7.87,3,-
HD 181433,Pavo,19h 25m 09.57s,−66° 28′ 07.7″,8.38,87,K5V,0.777,4962,8.974,3,-
HD 134606,Apus,15h 15m 15s,−70° 31′ 11″,6.85,87,G6IV,unknown,unknown,unknown,3,-
HD 158259,Draco,17h 25m 24.0s,+52° 47′ 26″,6.46,89,G0,1.08,unknown,unknown,5 (1),-
HD 82943,Hydra,09h 34m 50.74s,−12° 07′ 46.4″,6.54,90,G0V,1.175,5874,3.08,3,-
HD 114386,Centaurus,13h 10m 39.82s,−35° 03′ 17.2″,8.73,91,K3V,unknown,4819,2.19,2,-
HD 52265,Monoceros,07h 00m 18.10s,−05° 22′ 02.5″,6.3,91,G0V,1.2,6159,4.88,2,-
